State,District,Value 
Punjab,Muktsar,Scarcity
Bihar,Nalanda,Scarcity
Tamil Nadu,Namakkal,Scarcity 
Chhattisgarh,Bijapur,Stress 
Karnataka,Kodagu,Scarcity
Telangana,Sangareddy,Stress
Haryana,Sonipat,Scarcity 
Gujarat,Gir Somnath,Scarcity 
Maharashtra,Ratnagiri,No Stress 
Bihar,Gaya,Scarcity
Jharkhand,Giridih,Scarcity
Madhya Pradesh,Jabalpur,No Stress
Andhra Pradesh,Chittoor,Absolute scarcity 
Karnataka,Haveri,Scarcity
Meghalaya,North Garo Hills,No Stress 
Jammu and Kashmir,Shopian,Scarcity 
Assam,Hailakandi,No Stress
Karnataka,Chikballapura,Scarcity 
Rajasthan,Sirohi,Scarcity 
Rajasthan,Udaipur,Scarcity 
Uttar Pradesh,Etawah,Scarcity 
Karnataka,Mysore,Scarcity 
Andhra Pradesh,Srikakulam,Scarcity
West Bengal,Purba Medinipur,Scarcity
Uttar Pradesh,Muzaffarnagar,Scarcity 
Odisha,Jharsuguda,Stress
Telangana,Kamareddy,Stress 
Telangana,Hyderabad,Scarcity 
Telangana,Mancherial,Stress 
Arunachal Pradesh,Kamle,No Stress
Uttar Pradesh,Sonbhadra,Scarcity 
Uttarakhand,Dehradun,Scarcity
Arunachal Pradesh,Siang,No Stress
Madhya Pradesh,Bhopal,Scarcity
Uttar Pradesh,Gorakhpur,Scarcity 
Chhattisgarh,Jashpur,Stress
Manipur,Chandel,No Stress
Delhi,West Delhi,Scarcity
Sikkim,West Sikkim,No Stress 
Haryana,Ambala,Scarcity 
Chhattisgarh,Bemetara,Stress
Punjab,Rupnagar,Scarcity
West Bengal,Cooch Behar,No Stress
Madhya Pradesh,Panna,Scarcity 
Punjab,Sangrur,Scarcity
Goa,North Goa,No Stress 
Assam,Chirang,No Stress 
Maharashtra,Bhandara,Stress 
Punjab,Ferozepur,Scarcity
Mizoram,Lawangtlai,No Stress
Andhra Pradesh,East Godavari,Stress 
Assam,Dhubri,No Stress
Rajasthan,Ajmer,Scarcity 
Rajasthan,Bundi,Scarcity 
Gujarat,Vadodara,Scarcity
Punjab,Amritsar,Scarcity
Madhya Pradesh,Neemuch,Scarcity 
Madhya Pradesh,Khargone,No Stress
Kerala,Palakkad,No Stress 
Jammu and Kashmir,Anantnag,Scarcity 
Meghalaya,East Jaintia Hills,No Stress 
Chhattisgarh,Rajnandgaon,Stress
Maharashtra,Jalgaon,Stress 
Madhya Pradesh,Guna,Scarcity 
Punjab,Patiala,Scarcity 
Telangana,Bhadradri Kothagudem,Stress
Telangana,Rajanna Sircilla,Stress 
Punjab,Pathankot,Scarcity
Tripura,Gomati,No Stress
Arunachal Pradesh,Lohit,No Stress 
Tamil Nadu,Tirupathur,Scarcity
Jammu and Kashmir,Poonch,Scarcity
Uttar Pradesh,Sant Ravidas Nagar,Scarcity 
Himachal Pradesh,Mandi,Scarcity 
Maharashtra,Yavatmal,Stress
Gujarat,Mahesana,Scarcity
Manipur,Churachandpur,No Stress
Jharkhand,Dhanbad,Scarcity
Nagaland,Kohima,No Stress
Uttar Pradesh,Bhadohi,Scarcity
Arunachal Pradesh,West Siang,No Stress 
Bihar,Begusarai,Scarcity 
Meghalaya,East Khasi Hills,No Stress 
Haryana,Nuh,Scarcity 
Gujarat,Gandhinagar,Scarcity 
Delhi,South-East Delhi,Scarcity 
Karnataka,Chamarajanagar,Scarcity
Kerala,Kasaragod,No Stress 
Maharashtra,Akola,Stress
Maharashtra,Dhule,Stress
Manipur,Tengnoupal,No Stress
Maharashtra,Beed,Stress 
Odisha,Kandhamal,Stress
Rajasthan,Jaipur,Scarcity
Tamil Nadu,Tiruppur,Scarcity
Telangana,Vikarabad,Scarcity 
West Bengal,Birbhum,Scarcity
Karnataka,Udupi,Scarcity 
Chhattisgarh,Dantewada,Stress
Gujarat,Jamnagar,Scarcity
Jammu and Kashmir,Doda,Scarcity 
Karnataka,Koppal,Scarcity 
Jharkhand,Chatra,Scarcity 
Madhya Pradesh,Ratlam,Scarcity 
Telangana,Jogulamba Gadwal,Scarcity 
Chhattisgarh,Sukma,Stress 
Jammu and Kashmir,Samba,Scarcity 
Telangana,Nirmal,Stress
Uttar Pradesh,Hardoi,Scarcity
Odisha,Kalahandi,Stress 
West Bengal,Malda,Scarcity 
Meghalaya,"South West
Garo Hills",No Stress 
Assam,Bongaigaon,No Stress 
West Bengal,Murshidabad,Scarcity
Uttar Pradesh,Mainpuri,Scarcity
Assam,Nalbari,No Stress
Tamil Nadu,Karur,Scarcity
Rajasthan,Baran,Scarcity
Odisha,Ganjam,Scarcity
Telangana,Wanaparthy,Scarcity 
Jharkhand,Simdega,No Stress 
Maharashtra,Aurangabad,Stress 
Manipur,Imphal East,No Stress
Puducherry,Karaikal,Scarcity
Uttar Pradesh,Amroha,Scarcity 
Uttar Pradesh,Bulandshahr,Scarcity 
Telangana,Yadadri Bhuvangiri,Scarcity 
Uttarakhand,Pithoragarh,Scarcity
Uttar Pradesh,Balrampur,Scarcity 
Bihar,Katihar,Scarcity
Mizoram,Saiha,No Stress 
Chhattisgarh,Koriya,Scarcity 
Karnataka,Gulbarga,Scarcity 
Assam,Goalpara,No Stress 
Delhi,Central Delhi,Scarcity 
Himachal Pradesh,Shimla,Scarcity 
Maharashtra,Mumbai City,Stress 
Madhya Pradesh,Khandwa,No Stress
Punjab,Mansa,Scarcity
Telangana,Nizamabad,Stress
Nagaland,Tuensang,No Stress 
Uttarakhand,Rudraprayag,Scarcity 
Arunachal Pradesh,Lower Siang,No Stress 
Assam,Sonitpur,No Stress
Maharashtra,Nagpur,Stress
Maharashtra,Kolhapur,Scarcity
Manipur,Tamenglong,No Stress
Himachal Pradesh,Kangra,Scarcity
Rajasthan,Sikar,Scarcity
Meghalaya,West Jaintia Hills,No Stress 
Assam,Majuli,No Stress 
Madhya Pradesh,Rajgarh,Scarcity
Maharashtra,Amravati,Stress 
Gujarat,Surat,Stress
Maharashtra,Parbhani,Stress
Madhya Pradesh,Satna,Scarcity
West Bengal,Darjeeling,Scarcity 
Assam,Morigaon,No Stress 
Madhya Pradesh,Umaria,Scarcity 
Jharkhand,Kodarma,Scarcity
Chhattisgarh,Balod,Stress
Punjab,Moga,Scarcity
Nagaland,Kiphire,No Stress
Himachal Pradesh,Kinnaur,Scarcity 
Arunachal Pradesh,Longding,No Stress 
Karnataka,Bijapur,Scarcity
Karnataka,Yadgir,Scarcity
Uttar Pradesh,Kaushambi,Scarcity 
Telangana,Narayanpet,Scarcity 
Tamil Nadu,Thanjavur,Scarcity 
Telangana,Medchal-Malkajgiri,Scarcity 
Tamil Nadu,Krishnagiri,Absolute scarcity
Odisha,Baleshwar,Scarcity 
Uttarakhand,Bageshwar,Scarcity 
Andhra Pradesh,West Godavari,Scarcity
Jammu and Kashmir,Kupwara,Scarcity 
Tripura,South Tripura,No Stress 
Maharashtra,Chandrapur,Stress 
Madhya Pradesh,Dhar,No Stress 
Haryana,Kaithal,Scarcity 
Jharkhand,Dumka,Scarcity 
Uttar Pradesh,Mirzapur,Scarcity 
Himachal Pradesh,Sirmaur,Scarcity 
Himachal Pradesh,Hamirpur,Scarcity
Gujarat,Dang,No Stress 
Arunachal Pradesh,Anjaw,No Stress 
Maharashtra,Buldana,Stress 
Assam,Hojai,No Stress
Chhattisgarh,Janjgir-Champa,Stress 
Haryana,Panipat,Scarcity 
Maharashtra,Gondia,Stress 
Maharashtra,Mumbai Suburban,Stress
Karnataka,Bangalore Rural,Scarcity
Punjab,Gurdaspur,Scarcity 
Telangana,Siddipet,Stress
Madhya Pradesh,Agar Malwa,Scarcity 
Tamil Nadu,Tiruvallur,Absolute scarcity 
Telangana,Warangal Urban,Stress 
Uttar Pradesh,Sambhal,Scarcity 
Uttar Pradesh,Banda,Scarcity 
Uttarakhand,Udham Singh Nagar,Scarcity 
West Bengal,Uttar Dinajpur,Scarcity 
Maharashtra,Gadchiroli,Stress 
Assam,Jorhat,No Stress 
Tamil Nadu,Kancheepuram,Absolute scarcity
Uttar Pradesh,Budaun,Scarcity 
Madhya Pradesh,Dewas,No Stress
Odisha,Deogarh,No Stress 
Madhya Pradesh,Shivpuri,Scarcity
Arunachal Pradesh,Papum Pare,No Stress
West Bengal,Kalimpong,No Stress 
Kerala,Thiruvananthapuram,No Stress
Odisha,Puri,Stress
Odisha,Sambalpur,Stress 
Haryana,Hisar,Scarcity
Ladakh,Leh,Scarcity 
Telangana,Mulugu,Stress
Odisha,Bhadrak,No Stress
West Bengal,Howrah,Scarcity 
Punjab,Barnala,Scarcity
Uttar Pradesh,Mau,Scarcity 
Jammu and Kashmir,Ganderbal,Scarcity
Chhattisgarh,Surguja,Scarcity 
Maharashtra,Nandurbar,Stress 
Odisha,Rayagada,Scarcity
Odisha,Kendrapara,No Stress 
Uttar Pradesh,Lalitpur,Scarcity
West Bengal,Kolkata,Scarcity 
Arunachal Pradesh,Upper Siang,No Stress
Uttar Pradesh,Bahraich,Scarcity 
Madhya Pradesh,Burhanpur,Stress 
Haryana,Rewari,Scarcity
Rajasthan,Sawai Madhopur,Scarcity
Uttarakhand,Almora,Scarcity
Odisha,Balangir,Stress 
Telangana,Kumuram Bheem,Stress 
Gujarat,Kachchh,Scarcity
Kerala,Idukki,No Stress
Karnataka,Dharwad,No Stress
Gujarat,Morbi,Scarcity 
Himachal Pradesh,Una,Scarcity
Haryana,Jind,Scarcity
Delhi,South-West Delhi,Scarcity 
Gujarat,Patan,Scarcity
Dadra and Nagar Haveli,Dadra and Nagar Haveli,No Stress 
Nagaland,Peren,No Stress
Haryana,Karnal,Scarcity
Maharashtra,Sindhudurg,No Stress
Puducherry,Puducherry,Absolute scarcity
Assam,West Karbi Anglong,No Stress
Puducherry,Yanam,Stress 
Rajasthan,Dausa,Scarcity
Madhya Pradesh,Ujjain,Scarcity
Odisha,Jagatsinghapur,Stress 
Tamil Nadu,Ranipet,Scarcity 
